iter	Passed	Remaining
0	0	92
1	1	82
2	1	62
3	2	62
4	3	61
5	5	84
6	6	82
7	6	80
8	7	79
9	8	77
10	8	71
11	9	69
12	9	65
13	10	63
14	11	62
15	11	61
16	12	60
17	12	59
18	13	58
19	14	57
20	15	57
21	16	58
22	17	58
23	18	58
24	18	56
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	39	42
48	40	41
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	45	36
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
